Energy train,Energy test,Accuracy,Model,Pretrained,Score,Defuzzification_Mode
52133711.13480804,7768.767263054915,0.6717000000000001,resnet18,False,11.704796487403945,centroid
52133711.13480804,7768.767263054915,0.6717000000000001,resnet18,False,8.674113345805452,bisector
52133711.13480804,7768.767263054915,0.6717000000000001,resnet18,False,1.5,mom
52133711.13480804,7768.767263054915,0.6717000000000001,resnet18,False,0.0,som
52133711.13480804,7768.767263054915,0.6717000000000001,resnet18,False,3.0,lom
319042726.2362583,16943.01,0.71164,vgg16,False,8.333333333333332,centroid
319042726.2362583,16943.01,0.71164,vgg16,False,7.322330470336313,bisector
319042726.2362583,16943.01,0.71164,vgg16,False,0.0,mom
319042726.2362583,16943.01,0.71164,vgg16,False,0.0,som
319042726.2362583,16943.01,0.71164,vgg16,False,0.0,lom
66008751.47348884,7290.184629180399,0.5521600000000001,squeezenet1_0,False,8.783869194833745,centroid
66008751.47348884,7290.184629180399,0.5521600000000001,squeezenet1_0,False,7.937760991007076,bisector
66008751.47348884,7290.184629180399,0.5521600000000001,squeezenet1_0,False,3.0,mom
66008751.47348884,7290.184629180399,0.5521600000000001,squeezenet1_0,False,0.0,som
66008751.47348884,7290.184629180399,0.5521600000000001,squeezenet1_0,False,6.0,lom
29026127.60779571,4860.6855939274765,0.50026,shufflenet_v2_x0_5,False,19.68724958146623,centroid
29026127.60779571,4860.6855939274765,0.50026,shufflenet_v2_x0_5,False,17.160568877587465,bisector
29026127.60779571,4860.6855939274765,0.50026,shufflenet_v2_x0_5,False,4.0,mom
29026127.60779571,4860.6855939274765,0.50026,shufflenet_v2_x0_5,False,0.0,som
29026127.60779571,4860.6855939274765,0.50026,shufflenet_v2_x0_5,False,8.0,lom
93482970.5914604,6182.219077331169,0.6632600000000001,mobilenet_v2,False,12.831109484326943,centroid
93482970.5914604,6182.219077331169,0.6632600000000001,mobilenet_v2,False,8.666601579352543,bisector
93482970.5914604,6182.219077331169,0.6632600000000001,mobilenet_v2,False,2.0,mom
93482970.5914604,6182.219077331169,0.6632600000000001,mobilenet_v2,False,0.0,som
93482970.5914604,6182.219077331169,0.6632600000000001,mobilenet_v2,False,4.0,lom
118497814.20445102,7051.974840372971,0.7076800000000001,efficientnet_b0,False,8.333333333333332,centroid
118497814.20445102,7051.974840372971,0.7076800000000001,efficientnet_b0,False,7.322330470336313,bisector
118497814.20445102,7051.974840372971,0.7076800000000001,efficientnet_b0,False,0.0,mom
118497814.20445102,7051.974840372971,0.7076800000000001,efficientnet_b0,False,0.0,som
118497814.20445102,7051.974840372971,0.7076800000000001,efficientnet_b0,False,0.0,lom
